path,sentence,age,gender,accents
dataset/common_voice_en_27147295.mp3,"Today, the entire line is unfit for oil transport.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22441052.mp3,Public high school students who reside there attend Maine East High School.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27474289.mp3,"This being so, he should be in a position to supply the demand.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21269344.mp3,"Think prog-rock bollocks, baby!",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22299599.mp3,"This work includes education, lobbying government, activism and community work.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21926205.mp3,"Carter was born in Denver, Colorado.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27036278.mp3,There is a roundabout as in the apparatus for second childhood.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23541084.mp3,It is the band's best-selling album to date.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_18666500.mp3,It is the biggest telescope in the world.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_20393874.mp3,AudioNova Group is Sonova's international professional service network of hearing care providers.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_26984548.mp3,"Following Harding's death, Britton wrote what is considered to be the first kiss-and-tell book.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_20063482.mp3,"From there, Kanazawa believes the Jion kata were spread into the Tomari region.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22292494.mp3,The terms latent and sensible are correlative.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27186287.mp3,The other half of the prize was awarded to Roy J. Glauber.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21753148.mp3,The Dutch sent a warship to Aves.,thirties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27075238.mp3,Polkas almost always have a time signature.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22320019.mp3,Lostprophets confirmed that they would tour Australia.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22027741.mp3,Southwark tube station is at the western end.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21943612.mp3,The Valley Center school district mascot is the Hornets.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22334552.mp3,Free refers to independence of the university from both the State and Church.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23619619.mp3,"He publicly accused his second in command, Francis Shackleton, of the theft.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27228398.mp3,The district includes some of the finest examples of brownstones with large front gardens.,fourties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27460963.mp3,"Niki Karimi was born and raised in Tehran, Iran.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27013405.mp3,Her part in the Midgley household was paramount.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27230055.mp3,The second was built with a widened Cromwell track and different armoured skirts.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23627651.mp3,"However, the height of the cross and foggy weather made filming difficult.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_25273741.mp3,"Occasionally adults will consume insects, especially caterpillars, as well as fruits.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21721940.mp3,"It was well received, although it didn't achieve their earlier chart success.",thirties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23583167.mp3,He reached the rank of Captain and was awarded the Military Cross.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_32321973.mp3,Belfort retired from the stage due to ill health.,thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27474033.mp3,His wife eventually fled to Hungary to avoid further trouble.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23353731.mp3,The mountain was called the Mysian Olympus by the Romans who lived there before.,thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23349140.mp3,"Bland, with whom he had three daughters and a son.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27410951.mp3,He earned his first career strikeout against Royals shortstop Kurt Stillwell.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27085968.mp3,The Schoharie Creek flows northward through the town.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_21846456.mp3,Gagauz is a distinct language from Balkan Gagauz Turkish.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27289301.mp3,"Here they lived a hermitic penitential life characterised by prayer, manual work and silence.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27274338.mp3,"Unser said that he wanted to come back, but it would never happen.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22448162.mp3,A sagittal crest developed in older individuals and extends over the brow ridges.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27038738.mp3,I want to go to the Mediterranean and Italy.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_19310868.mp3,Tepoto Atoll is permanently uninhabited.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27039167.mp3,Is all the hype justified?,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27249710.mp3,"Othon met him while the little robosurgeon was treating Bari, his crippled son.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_20386925.mp3,The Korean forces also discovered Chinese and Korean captives there.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_29403814.mp3,As a zealous churchman and Protestant he still possessed a following.,thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22306534.mp3,"However, Weld was not ready to move and both families remained in Lenawee.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27430146.mp3,This condition is determined by a single polymorphism.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_24026666.mp3,"He resides with his long-time wife, Kit.",twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_19673994.mp3,Three main routes for the Main South Line were reported on by Mr. Woore.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27016670.mp3,The County levies a property tax.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23382337.mp3,He fought in several bloody battles.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_28565796.mp3,"They have a short pale supercilium, and the bill is strong and pointed.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_22257777.mp3,Its lyrics were written by Ashley Cartwright of The Shakes.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27155647.mp3,The resettlement idea did not get implemented.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_23594073.mp3,"Realizing their fate, they call their families to say goodbye.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27077793.mp3,"Like Pratchett, he used unique fonts for many of his supporting cast.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27521902.mp3,"The dungeon level consists of slave quarters, torture chambers, and caverns.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27214453.mp3,This film is now in the public domain.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27040689.mp3,It also occurs in some crystalline schist.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27291998.mp3,"Flint squeezes the poison out of the wound, saving Cramden's life.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27407331.mp3,"A Texan, he has degrees in mathematics and physics.",twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_19673166.mp3,He created the first shop for paperbacks.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27482453.mp3,Several ways of testing exist.,twenties,female_feminine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27046399.mp3,That's What I Call Love written by Neil Finn and Paul Hester.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_28710189.mp3,"Heller was born in Teschen, Austrian Silesia.",thirties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
dataset/common_voice_en_27209907.mp3,But Ampata feels too much for Xander and leaves for the museum.,twenties,male_masculine,"india and south asia (india, pakistan, sri lanka)"
